stusps,countyname,fips,fmr_1
KS,Rooks County,20163,671
KS,Rush County,20165,786
KS,Russell County,20167,786
KS,Saline County,20169,794
KS,Scott County,20171,671
KS,Sedgwick County,20173,774
KS,Seward County,20175,796
KS,Shawnee County,20177,731
KS,Sheridan County,20179,695
KS,Sherman County,20181,728
KS,Smith County,20183,778
KS,Stafford County,20185,671
KS,Stanton County,20187,671
KS,Stevens County,20189,686
KS,Sumner County,20191,725
KS,Thomas County,20193,671
KS,Trego County,20195,729
KS,Wabaunsee County,20197,731
KS,Wallace County,20199,671
KS,Washington County,20201,671
KS,Wichita County,20203,786
KS,Wilson County,20205,671
KS,Woodson County,20207,720
KS,Wyandotte County,20209,1098
KY,Adair County,21001,663
KY,Allen County,21003,726
KY,Anderson County,21005,854
KY,Ballard County,21007,668
KY,Barren County,21009,662
KY,Bath County,21011,720
KY,Bell County,21013,757
KY,Boone County,21015,919
KY,Bourbon County,21017,983
KY,Boyd County,21019,815
KY,Boyle County,21021,706
KY,Bracken County,21023,919
KY,Breathitt County,21025,743
KY,Breckinridge County,21027,729
KY,Bullitt County,21029,1077
KY,Butler County,21031,647
KY,Caldwell County,21033,746
KY,Calloway County,21035,810
KY,Campbell County,21037,919
KY,Carlisle County,21039,647
KY,Carroll County,21041,757
KY,Carter County,21043,647
KY,Casey County,21045,757
KY,Christian County,21047,970
KY,Clark County,21049,983
KY,Clay County,21051,675
KY,Clinton County,21053,669
KY,Crittenden County,21055,647
KY,Cumberland County,21057,647
KY,Daviess County,21059,830
KY,Edmonson County,21061,944
KY,Elliott County,21063,731
KY,Estill County,21065,647
KY,Fayette County,21067,983
KY,Fleming County,21069,729
KY,Floyd County,21071,668
KY,Franklin County,21073,831
KY,Fulton County,21075,672
KY,Gallatin County,21077,919
KY,Garrard County,21079,787
KY,Grant County,21081,742
KY,Graves County,21083,647
KY,Grayson County,21085,682
KY,Green County,21087,757
KY,Greenup County,21089,815
KY,Hancock County,21091,830
KY,Hardin County,21093,790
KY,Harlan County,21095,673
KY,Harrison County,21097,724
KY,Hart County,21099,647
KY,Henderson County,21101,850
KY,Henry County,21103,1077
KY,Hickman County,21105,647
KY,Hopkins County,21107,695
KY,Jackson County,21109,647
KY,Jefferson County,21111,1077
KY,Jessamine County,21113,983
KY,Johnson County,21115,647
KY,Kenton County,21117,919
KY,Knott County,21119,663
KY,Knox County,21121,664
KY,Larue County,21123,790
KY,Laurel County,21125,665
KY,Lawrence County,21127,647
KY,Lee County,21129,647
KY,Leslie County,21131,757
KY,Letcher County,21133,733
KY,Lewis County,21135,705
KY,Lincoln County,21137,686
KY,Livingston County,21139,663
KY,Logan County,21141,660
KY,Lyon County,21143,658
KY,McCracken County,21145,755
KY,McCreary County,21147,757
KY,McLean County,21149,830
KY,Madison County,21151,794
KY,Magoffin County,21153,757
KY,Marion County,21155,660
KY,Marshall County,21157,780
KY,Martin County,21159,647
KY,Mason County,21161,752
KY,Meade County,21163,788
KY,Menifee County,21165,663
KY,Mercer County,21167,647
KY,Metcalfe County,21169,655
KY,Monroe County,21171,647
KY,Montgomery County,21173,647
KY,Morgan County,21175,647
KY,Muhlenberg County,21177,647
KY,Nelson County,21179,680
KY,Nicholas County,21181,647
KY,Ohio County,21183,656
KY,Oldham County,21185,1077
KY,Owen County,21187,681
KY,Owsley County,21189,663
KY,Pendleton County,21191,919
KY,Perry County,21193,710
KY,Pike County,21195,784
KY,Powell County,21197,656
KY,Pulaski County,21199,699
KY,Robertson County,21201,647
KY,Rockcastle County,21203,647
KY,Rowan County,21205,704
KY,Russell County,21207,647
KY,Scott County,21209,983
KY,Shelby County,21211,965
KY,Simpson County,21213,761
KY,Spencer County,21215,1077
KY,Taylor County,21217,744
KY,Todd County,21219,647
KY,Trigg County,21221,970
KY,Trimble County,21223,656
KY,Union County,21225,694
KY,Warren County,21227,944
KY,Washington County,21229,690
KY,Wayne County,21231,699
KY,Webster County,21233,659
KY,Whitley County,21235,647
KY,Wolfe County,21237,757
KY,Woodford County,21239,983
LA,Acadia Parish,22001,626
LA,Allen Parish,22003,679
LA,Ascension Parish,22005,1124
LA,Assumption Parish,22007,886
LA,Avoyelles Parish,22009,651
LA,Beauregard Parish,22011,741
LA,Bienville Parish,22013,727
LA,Bossier Parish,22015,927
LA,Caddo Parish,22017,927
LA,Calcasieu Parish,22019,840
LA,Caldwell Parish,22021,722
LA,Cameron Parish,22023,840
LA,Catahoula Parish,22025,722
LA,Claiborne Parish,22027,626
LA,Concordia Parish,22029,626
LA,De Soto Parish,22031,927
LA,East Baton Rouge Parish,22033,1124
LA,East Carroll Parish,22035,626
LA,East Feliciana Parish,22037,1124
LA,Evangeline Parish,22039,669
LA,Franklin Parish,22041,702
LA,Grant Parish,22043,757
LA,Iberia Parish,22045,690
LA,Iberville Parish,22047,818
LA,Jackson Parish,22049,732
LA,Jefferson Parish,22051,1149
LA,Jefferson Davis Parish,22053,672
LA,Lafayette Parish,22055,921
LA,Lafourche Parish,22057,900
LA,La Salle Parish,22059,639
LA,Lincoln Parish,22061,727
LA,Livingston Parish,22063,1124
LA,Madison Parish,22065,626
LA,Morehouse Parish,22067,650
LA,Natchitoches Parish,22069,748
LA,Orleans Parish,22071,1149
LA,Ouachita Parish,22073,757
LA,Plaquemines Parish,22075,1149
LA,Pointe Coupee Parish,22077,1124
LA,Rapides Parish,22079,757
LA,Red River Parish,22081,626
LA,Richland Parish,22083,649
LA,Sabine Parish,22085,679
LA,St. Bernard Parish,22087,1149
LA,St. Charles Parish,22089,1149
LA,St. Helena Parish,22091,1124
LA,St. James Parish,22093,715
LA,St. John the Baptist Parish,22095,1149
LA,St. Landry Parish,22097,626
LA,St. Martin Parish,22099,921
LA,St. Mary Parish,22101,740
LA,St. Tammany Parish,22103,1149
LA,Tangipahoa Parish,22105,834
LA,Tensas Parish,22107,626
LA,Terrebonne Parish,22109,900
LA,Union Parish,22111,757
LA,Vermilion Parish,22113,732
LA,Vernon Parish,22115,794
LA,Washington Parish,22117,732
LA,Webster Parish,22119,626
LA,West Baton Rouge Parish,22121,1124
LA,West Carroll Parish,22123,626
LA,West Feliciana Parish,22125,1124
LA,Winn Parish,22127,732
MD,Allegany County,24001,736
MD,Anne Arundel County,24003,1582
MD,Baltimore County,24005,1582
MD,Calvert County,24009,1803
MD,Caroline County,24011,938
MD,Carroll County,24013,1582
MD,Cecil County,24015,1451
MD,Charles County,24017,1803
MD,Dorchester County,24019,896
MD,Frederick County,24021,1803
MD,Garrett County,24023,795
MD,Harford County,24025,1582
MD,Howard County,24027,1582
MD,Kent County,24029,1111
MD,Montgomery County,24031,1803
MD,Prince George's County,24033,1803
MD,Queen Anne's County,24035,1582
MD,St. Mary's County,24037,1492
MD,Somerset County,24039,837
MD,Talbot County,24041,1229
MD,Washington County,24043,932
MD,Wicomico County,24045,998
MD,Worcester County,24047,1020
MD,Baltimore city,24510,1582
MA,Nantucket County,25019,1922
MI,Alcona County,26001,789
MI,Alger County,26003,768
MI,Allegan County,26005,838
MI,Alpena County,26007,748
MI,Antrim County,26009,826
MI,Arenac County,26011,689
MI,Baraga County,26013,704
MI,Barry County,26015,810
MI,Bay County,26017,736
MI,Benzie County,26019,860
MI,Berrien County,26021,811
MI,Branch County,26023,752
MI,Calhoun County,26025,854
MI,Cass County,26027,798
MI,Charlevoix County,26029,784
MI,Cheboygan County,26031,760
MI,Chippewa County,26033,782
MI,Clare County,26035,689
MI,Clinton County,26037,887
MI,Crawford County,26039,812
MI,Delta County,26041,689
MI,Dickinson County,26043,763
MI,Eaton County,26045,887
MI,Emmet County,26047,900
MI,Genesee County,26049,854
MI,Gladwin County,26051,689
MI,Gogebic County,26053,720
MI,Grand Traverse County,26055,1061
MI,Gratiot County,26057,743
MI,Hillsdale County,26059,725
MI,Houghton County,26061,758
MI,Huron County,26063,717
MI,Ingham County,26065,887
MI,Ionia County,26067,843
MI,Iosco County,26069,730
MI,Iron County,26071,689
MI,Isabella County,26073,815
MI,Jackson County,26075,884
MI,Kalamazoo County,26077,878
MI,Kalkaska County,26079,689
MI,Kent County,26081,1142
MI,Keweenaw County,26083,802
MI,Lake County,26085,734
MI,Lapeer County,26087,1019
MI,Leelanau County,26089,993
MI,Lenawee County,26091,809
MI,Livingston County,26093,1155
MI,Luce County,26095,725
MI,Mackinac County,26097,729
MI,Macomb County,26099,1019
MI,Manistee County,26101,779
MI,Marquette County,26103,876
MI,Mason County,26105,740
MI,Mecosta County,26107,799
MI,Menominee County,26109,728
MI,Midland County,26111,820
MI,Missaukee County,26113,715
MI,Monroe County,26115,885
MI,Montcalm County,26117,818
MI,Montmorency County,26119,806
MI,Muskegon County,26121,811
MI,Newaygo County,26123,708
MI,Oakland County,26125,1019
MI,Oceana County,26127,704
MI,Ogemaw County,26129,806
MI,Ontonagon County,26131,806
MI,Osceola County,26133,689
MI,Oscoda County,26135,702
MI,Otsego County,26137,764
MI,Ottawa County,26139,1115
MI,Presque Isle County,26141,689
MI,Roscommon County,26143,689
MI,Saginaw County,26145,764
MI,St. Clair County,26147,1019
MI,St. Joseph County,26149,712
MI,Sanilac County,26151,689
MI,Schoolcraft County,26153,715
MI,Shiawassee County,26155,689
MI,Tuscola County,26157,746
MI,Van Buren County,26159,734
MI,Washtenaw County,26161,1234
MI,Wayne County,26163,1019
MI,Wexford County,26165,738
MN,Aitkin County,27001,709
MN,Anoka County,27003,1327
MN,Becker County,27005,801
MN,Beltrami County,27007,851
MN,Benton County,27009,906
MN,Big Stone County,27011,775
MN,Blue Earth County,27013,903
MN,Brown County,27015,689
MN,Carlton County,27017,868
MN,Carver County,27019,1327
MN,Cass County,27021,849
MN,Chippewa County,27023,767
MN,Chisago County,27025,1327
MN,Clay County,27027,781
MN,Clearwater County,27029,712
MN,Cook County,27031,806
MN,Cottonwood County,27033,751
MN,Crow Wing County,27035,840
MN,Dakota County,27037,1327
MN,Dodge County,27039,927
MN,Douglas County,27041,789
MN,Faribault County,27043,726
MN,Fillmore County,27045,689
MN,Freeborn County,27047,740
MN,Goodhue County,27049,874
MN,Grant County,27051,691
MN,Hennepin County,27053,1327
MN,Houston County,27055,866
MN,Hubbard County,27057,750
MN,Isanti County,27059,1327
MN,Itasca County,27061,817
MN,Jackson County,27063,695
MN,Kanabec County,27065,819
MN,Kandiyohi County,27067,773
MN,Kittson County,27069,689
MN,Koochiching County,27071,689
MN,Lac qui Parle County,27073,744
MN,Lake County,27075,860
MN,Lake of the Woods County,27077,741
MN,Le Sueur County,27079,845
MN,Lincoln County,27081,689
MN,Lyon County,27083,715
MN,McLeod County,27085,737
MN,Mahnomen County,27087,689
MN,Marshall County,27089,696
MN,Martin County,27091,700
MN,Meeker County,27093,766
MN,Mille Lacs County,27095,861
MN,Morrison County,27097,712
MN,Mower County,27099,826
MN,Murray County,27101,704
MN,Nicollet County,27103,903
MN,Nobles County,27105,811
MN,Norman County,27107,714
MN,Olmsted County,27109,927
MN,Otter Tail County,27111,718
MN,Pennington County,27113,837
MN,Pine County,27115,872
MN,Pipestone County,27117,697
MN,Polk County,27119,736
MN,Pope County,27121,804
MN,Ramsey County,27123,1327
MN,Red Lake County,27125,689
MN,Redwood County,27127,693
MN,Renville County,27129,742
MN,Rice County,27131,918
MN,Rock County,27133,716
MN,Roseau County,27135,754
MN,St. Louis County,27137,868
MN,Scott County,27139,1327
MN,Sherburne County,27141,1327
MN,Sibley County,27143,762
MN,Stearns County,27145,906
MN,Steele County,27147,814
MN,Stevens County,27149,738
MN,Swift County,27151,689
MN,Todd County,27153,774
MN,Traverse County,27155,712
MN,Wabasha County,27157,806
MN,Wadena County,27159,756
MN,Waseca County,27161,689
MN,Washington County,27163,1327
MN,Watonwan County,27165,806
MN,Wilkin County,27167,689
MN,Winona County,27169,818
MN,Wright County,27171,1327
MN,Yellow Medicine County,27173,689
MS,Adams County,28001,804
MS,Alcorn County,28003,712
MS,Amite County,28005,693
MS,Attala County,28007,687
MS,Benton County,28009,804
MS,Bolivar County,28011,687
MS,Calhoun County,28013,687
MS,Carroll County,28015,725
MS,Chickasaw County,28017,687
MS,Choctaw County,28019,687
MS,Claiborne County,28021,742
MS,Clarke County,28023,825
MS,Clay County,28025,804
MS,Coahoma County,28027,804
MS,Copiah County,28029,997
MS,Covington County,28031,749
MS,DeSoto County,28033,1146
MS,Forrest County,28035,906
MS,Franklin County,28037,804
MS,George County,28039,742
MS,Greene County,28041,704
MS,Grenada County,28043,690
MS,Hancock County,28045,923
MS,Harrison County,28047,923
MS,Hinds County,28049,997
MS,Holmes County,28051,804
MS,Humphreys County,28053,804
MS,Issaquena County,28055,742
MS,Itawamba County,28057,732
MS,Jackson County,28059,957
MS,Jasper County,28061,742
MS,Jefferson County,28063,687
MS,Jefferson Davis County,28065,742
MS,Jones County,28067,737
MS,Kemper County,28069,742
MS,Lafayette County,28071,1065
MS,Lamar County,28073,906
MS,Lauderdale County,28075,809
MS,Lawrence County,28077,733
MS,Leake County,28079,718
MS,Lee County,28081,859
MS,Leflore County,28083,687
MS,Lincoln County,28085,715
MS,Lowndes County,28087,753
MS,Madison County,28089,997
MS,Marion County,28091,698
MS,Marshall County,28093,846
MS,Monroe County,28095,804
MS,Montgomery County,28097,782
MS,Neshoba County,28099,804
MS,Newton County,28101,704
MS,Noxubee County,28103,804
MS,Oktibbeha County,28105,889
MS,Panola County,28107,752
MS,Pearl River County,28109,894
MS,Perry County,28111,906
MS,Pike County,28113,896
MS,Pontotoc County,28115,820
MS,Prentiss County,28117,748
MS,Quitman County,28119,687
MS,Rankin County,28121,997
MS,Scott County,28123,762
MS,Sharkey County,28125,742
MS,Simpson County,28127,785
MS,Smith County,28129,804
MS,Stone County,28131,706
MS,Sunflower County,28133,687
MS,Tallahatchie County,28135,804
MS,Tate County,28137,834
MS,Tippah County,28139,742
MS,Tishomingo County,28141,804
MS,Tunica County,28143,1017
MS,Union County,28145,804
MS,Walthall County,28147,752
MS,Warren County,28149,760
MS,Washington County,28151,773
MS,Wayne County,28153,742
MS,Webster County,28155,742
MS,Wilkinson County,28157,742
MS,Winston County,28159,804
MS,Yalobusha County,28161,711
MS,Yazoo County,28163,711
MO,Adair County,29001,609
MO,Andrew County,29003,734
MO,Atchison County,29005,607
MO,Audrain County,29007,631
MO,Barry County,29009,607
MO,Barton County,29011,659
MO,Bates County,29013,650
MO,Benton County,29015,622
MO,Bollinger County,29017,742
MO,Boone County,29019,861
MO,Buchanan County,29021,734
MO,Butler County,29023,607
MO,Caldwell County,29025,1098
MO,Callaway County,29027,713
MO,Camden County,29029,661
MO,Cape Girardeau County,29031,742
MO,Carroll County,29033,607
MO,Carter County,29035,607
MO,Cass County,29037,1098
MO,Cedar County,29039,607
MO,Chariton County,29041,608
MO,Christian County,29043,723
MO,Clark County,29045,607
MO,Clay County,29047,1098
MO,Clinton County,29049,1098
MO,Cole County,29051,650
MO,Cooper County,29053,628
MO,Crawford County,29055,635
MO,Sullivan part,29056,972
MO,Dade County,29057,631
MO,Dallas County,29059,607
MO,Daviess County,29061,607
MO,DeKalb County,29063,734
MO,Dent County,29065,607
MO,Douglas County,29067,607
MO,Dunklin County,29069,619
MO,Franklin County,29071,972
MO,Gasconade County,29073,607
MO,Gentry County,29075,617
MO,Greene County,29077,723
MO,Grundy County,29079,614
MO,Harrison County,29081,613
MO,Henry County,29083,607
MO,Hickory County,29085,633
MO,Holt County,29087,607
MO,Howard County,29089,656
MO,Howell County,29091,607
MO,Iron County,29093,710
MO,Jackson County,29095,1098
MO,Jasper County,29097,741
MO,Jefferson County,29099,972
MO,Johnson County,29101,712
MO,Knox County,29103,623
MO,Laclede County,29105,607
MO,Lafayette County,29107,1098
MO,Lawrence County,29109,619
MO,Lewis County,29111,607
MO,Lincoln County,29113,972
MO,Linn County,29115,607
MO,Livingston County,29117,618
MO,McDonald County,29119,635
MO,Macon County,29121,607
MO,Madison County,29123,607
MO,Maries County,29125,710
MO,Marion County,29127,669
MO,Mercer County,29129,607
MO,Miller County,29131,763
MO,Mississippi County,29133,607
MO,Moniteau County,29135,626
MO,Monroe County,29137,607
MO,Montgomery County,29139,607
MO,Morgan County,29141,707
MO,New Madrid County,29143,635
MO,Newton County,29145,741
MO,Nodaway County,29147,673
MO,Oregon County,29149,607
MO,Osage County,29151,650
MO,Ozark County,29153,655
MO,Pemiscot County,29155,710
MO,Perry County,29157,712
MO,Pettis County,29159,697
MO,Phelps County,29161,658
MO,Pike County,29163,624
MO,Platte County,29165,1098
MO,Polk County,29167,642
MO,Pulaski County,29169,744
MO,Putnam County,29171,653
MO,Ralls County,29173,646
MO,Randolph County,29175,607
MO,Ray County,29177,1098
MO,Reynolds County,29179,610
MO,Ripley County,29181,627
MO,St. Charles County,29183,972
MO,St. Clair County,29185,607
MO,Ste. Genevieve County,29186,683
MO,St. Francois County,29187,623
MO,St. Louis County,29189,972
MO,Saline County,29195,619
MO,Schuyler County,29197,607
MO,Scotland County,29199,607
MO,Scott County,29201,658
MO,Shannon County,29203,642
MO,Shelby County,29205,617
MO,Stoddard County,29207,607
MO,Stone County,29209,617
MO,Sullivan County,29211,607
MO,Taney County,29213,728
MO,Texas County,29215,710
MO,Vernon County,29217,658
MO,Warren County,29219,972
MO,Washington County,29221,607
MO,Wayne County,29223,699
MO,Webster County,29225,723
MO,Worth County,29227,628
MO,Wright County,29229,607
MO,St. Louis city,29510,972
MT,Beaverhead County,30001,806
MT,Big Horn County,30003,708
MT,Blaine County,30005,693
MT,Broadwater County,30007,938
MT,Carbon County,30009,874
MT,Carter County,30011,806
MT,Cascade County,30013,745
MT,Chouteau County,30015,689
MT,Custer County,30017,795
MT,Daniels County,30019,689
MT,Dawson County,30021,723
MT,Deer Lodge County,30023,806
MT,Fallon County,30025,725
MT,Fergus County,30027,725
MT,Flathead County,30029,823
MT,Gallatin County,30031,999
MT,Garfield County,30033,689
MT,Glacier County,30035,804
MT,Golden Valley County,30037,721
MT,Granite County,30039,727
MT,Hill County,30041,696
MT,Jefferson County,30043,716
MT,Judith Basin County,30045,689
MT,Lake County,30047,743
MT,Lewis and Clark County,30049,837
MT,Liberty County,30051,806
MT,Lincoln County,30053,806
MT,McCone County,30055,760
MT,Madison County,30057,795
MT,Meagher County,30059,689
MT,Mineral County,30061,697
MT,Missoula County,30063,988
MT,Musselshell County,30065,707
MT,Park County,30067,823
MT,Petroleum County,30069,760
MT,Phillips County,30071,806
MT,Pondera County,30073,806
MT,Powder River County,30075,689
MT,Powell County,30077,689
MT,Prairie County,30079,760
MT,Ravalli County,30081,718
MT,Richland County,30083,795
MT,Roosevelt County,30085,689
MT,Rosebud County,30087,749
MT,Sanders County,30089,726
MT,Sheridan County,30091,806
MT,Silver Bow County,30093,723
MT,Stillwater County,30095,779
MT,Sweet Grass County,30097,721
MT,Teton County,30099,806
MT,Toole County,30101,806
MT,Treasure County,30103,760
MT,Valley County,30105,689
MT,Wheatland County,30107,689
MT,Wibaux County,30109,760
MT,Yellowstone County,30111,874
NE,Adams County,31001,714
NE,Antelope County,31003,664
NE,Arthur County,31005,664
NE,Banner County,31007,666
NE,Blaine County,31009,666
NE,Boone County,31011,664
NE,Box Butte County,31013,696
NE,Boyd County,31015,665
NE,Brown County,31017,664
NE,Buffalo County,31019,758
NE,Burt County,31021,664
NE,Butler County,31023,693
NE,Cass County,31025,971
NE,Cedar County,31027,685
NE,Chase County,31029,777
NE,Cherry County,31031,727
NE,Cheyenne County,31033,741
NE,Clay County,31035,711
NE,Colfax County,31037,702
NE,Cuming County,31039,745
NE,Custer County,31041,686
NE,Dakota County,31043,780
NE,Dawes County,31045,709
NE,Dawson County,31047,804
NE,Deuel County,31049,664
NE,Dixon County,31051,780
NE,Dodge County,31053,743
NE,Douglas County,31055,971
NE,Dundy County,31057,689
NE,Fillmore County,31059,777
NE,Franklin County,31061,702
NE,Frontier County,31063,664
NE,Furnas County,31065,708
NE,Gage County,31067,664
NE,Garden County,31069,664
NE,Garfield County,31071,739
NE,Gosper County,31073,664
NE,Grant County,31075,666
NE,Greeley County,31077,664
NE,Hall County,31079,792
NE,Hamilton County,31081,682
NE,Harlan County,31083,664
NE,Hayes County,31085,664
NE,Hitchcock County,31087,664
NE,Holt County,31089,724
NE,Hooker County,31091,760
NE,Howard County,31093,664
NE,Jefferson County,31095,664
NE,Johnson County,31097,664
NE,Kearney County,31099,678
NE,Keith County,31101,684
NE,Keya Paha County,31103,666
NE,Kimball County,31105,664
NE,Knox County,31107,664
NE,Lancaster County,31109,856
NE,Lincoln County,31111,680
NE,Logan County,31113,664
NE,Loup County,31115,666
NE,McPherson County,31117,666
NE,Madison County,31119,708
NE,Merrick County,31121,711
NE,Morrill County,31123,665
NE,Nance County,31125,664
NE,Nemaha County,31127,664
NE,Nuckolls County,31129,664
NE,Otoe County,31131,667
NE,Pawnee County,31133,664
NE,Perkins County,31135,775
NE,Phelps County,31137,743
NE,Pierce County,31139,777
NE,Platte County,31141,709
NE,Polk County,31143,664
NE,Red Willow County,31145,664
NE,Richardson County,31147,664
NE,Rock County,31149,664
NE,Saline County,31151,694
NE,Sarpy County,31153,971
NE,Saunders County,31155,769
NE,Scotts Bluff County,31157,720
NE,Seward County,31159,695
NE,Sheridan County,31161,730
NE,Sherman County,31163,664
NE,Sioux County,31165,664
NE,Stanton County,31167,807
NE,Thayer County,31169,664
NE,Thomas County,31171,664
NE,Thurston County,31173,664
NE,Valley County,31175,665
NE,Washington County,31177,971
NE,Wayne County,31179,664
NE,Webster County,31181,664
NE,Wheeler County,31183,664
NE,York County,31185,721
NV,Churchill County,32001,920
NV,Clark County,32003,1377
NV,Douglas County,32005,1192
NV,Elko County,32007,1092
NV,Esmeralda County,32009,1072
NV,Eureka County,32011,971
NV,Humboldt County,32013,931
NV,Lander County,32015,883
NV,Lincoln County,32017,892
NV,Lyon County,32019,1052
NV,Mineral County,32021,971
NV,Nye County,32023,919
NV,Pershing County,32027,796
NV,Storey County,32029,1257
NV,Washoe County,32031,1257
NV,White Pine County,32033,976
NV,Carson City,32510,1066
NJ,Atlantic County,34001,1340
NJ,Bergen County,34003,1645
NJ,Burlington County,34005,1451
NJ,Camden County,34007,1451
NJ,Cape May County,34009,1194
NJ,Cumberland County,34011,1216
NJ,Essex County,34013,1590
NJ,Gloucester County,34015,1451
NJ,Hudson County,34017,2025
NJ,Hunterdon County,34019,1807
NJ,Mercer County,34021,1550
NJ,Middlesex County,34023,1807
NJ,Monmouth County,34025,1546
NJ,Morris County,34027,1590
NJ,Ocean County,34029,1546
NJ,Passaic County,34031,1645
NJ,Salem County,34033,1451
NJ,Somerset County,34035,1807
NJ,Sussex County,34037,1590
NJ,Union County,34039,1590
NJ,Warren County,34041,1277
NM,Bernalillo County,35001,1005
NM,Catron County,35003,707
NM,Chaves County,35005,737
NM,Cibola County,35006,700
NM,Colfax County,35007,781
NM,Curry County,35009,800
NM,De Baca County,35011,667
NM,Dona Ana County,35013,881
NM,Eddy County,35015,968
NM,Grant County,35017,733
NM,Guadalupe County,35019,767
NM,Harding County,35021,707
NM,Hidalgo County,35023,707
NM,Lea County,35025,889
NM,Lincoln County,35027,667
NM,Los Alamos County,35028,1037
NM,Luna County,35029,691
NM,McKinley County,35031,739
NM,Mora County,35033,707
NM,Otero County,35035,722
NM,Quay County,35037,781
NM,Rio Arriba County,35039,670
NM,Roosevelt County,35041,703
NM,Sandoval County,35043,1005
NM,San Juan County,35045,847
NM,San Miguel County,35047,781
NM,Santa Fe County,35049,1317
NM,Sierra County,35051,667
NM,Socorro County,35053,707
NM,Taos County,35055,921
NM,Torrance County,35057,1005
NM,Union County,35059,732
NM,Valencia County,35061,1005
NY,Albany County,36001,1131
NY,Allegany County,36003,731
NY,Bronx County,36005,2451
NY,Broome County,36007,904
NY,Cattaraugus County,36009,709
NY,Cayuga County,36011,733
NY,Chautauqua County,36013,711
NY,Chemung County,36015,922
NY,Chenango County,36017,777
NY,Clinton County,36019,826
NY,Columbia County,36021,1042
NY,Cortland County,36023,805
NY,Delaware County,36025,798
NY,Dutchess County,36027,1419
NY,Erie County,36029,992
NY,Essex County,36031,828
NY,Franklin County,36033,763
NY,Fulton County,36035,734
NY,Genesee County,36037,804
NY,Greene County,36039,965
NY,Hamilton County,36041,868
NY,Herkimer County,36043,790
NY,Jefferson County,36045,1035
NY,Kings County,36047,2451
NY,Lewis County,36049,707
NY,Livingston County,36051,1050
NY,Madison County,36053,916
NY,Monroe County,36055,1050
NY,Montgomery County,36057,780
NY,Nassau County,36059,2144
NY,New York County,36061,2451
NY,Niagara County,36063,992
NY,Oneida County,36065,790
NY,Onondaga County,36067,916
NY,Ontario County,36069,1050
NY,Orange County,36071,1419
NY,Orleans County,36073,1050
NY,Oswego County,36075,916
NY,Otsego County,36077,879
NY,Putnam County,36079,2451
NY,Queens County,36081,2451
NY,Rensselaer County,36083,1131
NY,Richmond County,36085,2451
NY,Rockland County,36087,2451
NY,St. Lawrence County,36089,763
NY,Saratoga County,36091,1131
NY,Schenectady County,36093,1131
NY,Schoharie County,36095,1131
NY,Schuyler County,36097,740
NY,Seneca County,36099,770
NY,Steuben County,36101,759
NY,Suffolk County,36103,2144
NY,Sullivan County,36105,917
NY,Tioga County,36107,904
NY,Tompkins County,36109,1434
NY,Ulster County,36111,1308
NY,Warren County,36113,1025
NY,Washington County,36115,1025
NY,Wayne County,36117,1050
NY,Westchester County,36119,1934
NY,Wyoming County,36121,728
NY,Yates County,36123,811
NC,Alamance County,37001,1043
NC,Alexander County,37003,834
NC,Alleghany County,37005,655
NC,Anson County,37007,843
NC,Ashe County,37009,678
NC,Avery County,37011,781
NC,Beaufort County,37013,672
NC,Bertie County,37015,688
NC,Bladen County,37017,691
NC,Brunswick County,37019,1008
NC,Buncombe County,37021,1496
NC,Burke County,37023,834
NC,Cabarrus County,37025,1384
NC,Caldwell County,37027,834
NC,Camden County,37029,789
NC,Carteret County,37031,826
NC,Caswell County,37033,759
NC,Catawba County,37035,834
NC,Chatham County,37037,1418
NC,Cherokee County,37039,664
NC,Chowan County,37041,792
NC,Clay County,37043,828
NC,Cleveland County,37045,656
NC,Columbus County,37047,651
NC,Craven County,37049,935
NC,Cumberland County,37051,1120
NC,Currituck County,37053,1287
NC,Dare County,37055,1137
NC,Davidson County,37057,773
NC,Davie County,37059,936
NC,Duplin County,37061,687
NC,Durham County,37063,1418
NC,Edgecombe County,37065,830
NC,Forsyth County,37067,936
NC,Franklin County,37069,1466
NC,Gaston County,37071,1384
NC,Gates County,37073,908
NC,Graham County,37075,745
NC,Granville County,37077,1040
NC,Greene County,37079,669
NC,Guilford County,37081,1042
NC,Halifax County,37083,687
NC,Harnett County,37085,857
NC,Haywood County,37087,1102
NC,Henderson County,37089,1496
NC,Hertford County,37091,719
NC,Hoke County,37093,798
NC,Hyde County,37095,710
NC,Iredell County,37097,1075
NC,Jackson County,37099,797
NC,Johnston County,37101,1466
NC,Jones County,37103,674
NC,Lee County,37105,871
NC,Lenoir County,37107,654
NC,Lincoln County,37109,970
NC,McDowell County,37111,751
NC,Macon County,37113,849
NC,Madison County,37115,1496
NC,Martin County,37117,687
NC,Mecklenburg County,37119,1384
NC,Mitchell County,37121,651
NC,Montgomery County,37123,695
NC,Moore County,37125,886
NC,Nash County,37127,830
NC,New Hanover County,37129,1349
NC,Northampton County,37131,724
NC,Onslow County,37133,1030
NC,Orange County,37135,1418
NC,Pamlico County,37137,866
NC,Pasquotank County,37139,805
NC,Pender County,37141,988
NC,Perquimans County,37143,816
NC,Person County,37145,722
NC,Pitt County,37147,931
NC,Polk County,37149,792
NC,Randolph County,37151,1042
NC,Richmond County,37153,762
NC,Robeson County,37155,652
NC,Rockingham County,37157,719
NC,Rowan County,37159,931
NC,Rutherford County,37161,737
NC,Sampson County,37163,725
